[Chart Version]
ProgID = KOSCOMCHART.KoscomChartCtrl.1
#ChartMode : DEV/HTS/FX/WORLDON
ChartMode = FX

# Comment mark : '#'
# Format :
#	Code ID ; Meta Text ; Other Meta Text ; English Text (Language ID 0) ; Korean Text (Language ID 1) ; Taiwan Text (Language ID 2) ;
#	Code ID is in MetaTable.h (-1 is Temp Meta Code)

### Packet Name Language Table ####################################################
[CodePage 0]
;_Sto Fast%K_3_;Sto Fast%K_3;Sto Fast%K_3;Sto Fast%K_3;
;_Stochastic+RSI_;Stochastic+RSI;Stochastic+RSI;Stochastic+RSI;
;_SuspenseContract_;미결제약정;Open Interest;미결제약정;
;_SwingChart_;SwingChart;SwingChart;SwingChart;
;_SystemSignal_;시스템신호;SystemSignal;시스템신호;
;_TEMA_;TEMA;TEMA;TEMA;
;_ThreeLineBreak_;삼선전환도;ThreeLineBreak;삼선전환도;
;_TotalAmount_;시가총액;Market Value;시가총액;
;_TRIX_;TRIX;TRIX;TRIX;
;_VA Osc_;VA Osc;VA Osc;VA Osc;
;_VHF_;VHF;VHF;VHF;
;_VMA1_;거래1;VMA1;거래1;
;_VMA2_;거래2;VMA2;거래2;
;_VMA3_;거래3;VMA3;거래3;
;_VMA4_;거래4;VMA4;거래4;
;_VMA5_;거래5;VMA5;거래5;
;_VMA6_;거래6;VMA6;거래6;
;_Volume Osc_;Volume Osc;Volume Osc;Volume Osc;
;_Volume Ratio_;Volume Ratio;Volume Ratio;Volume Ratio;
;_Volume_;거래량;Volume;거래량;
;_VolumeAmount_;거래대금;Trading Value;거래대금;
;_VROC_;VROC;VROC;VROC;
;_William's %R_;William's %R;William's %R;William's %R;
;_ZigZag_;ZigZag;ZigZag;ZigZag;

### Indicator Name Language Table ####################################################
[CodePage 2]
200;_Price MA_;가격 이동평균;Price Moving Average;가격 이동평균;
201;_Volume MA_;거래량 이동평균;Volume Moving Average;거래량 이동평균;
202;_PriceChart_;가격차트;Price Chart;가격차트;
203;_VolumeChart_;거래량차트;Volume Chart;거래량차트;
204;_RainbowChart_;그물차트;Net Chart;그물차트;
205;_OverhangingSupply_;대기매물;ForSale;대기매물;
206;_ObviouslyBalanceChart_;일목균형표;GlanceBalance;일목균형표;
207;_Bollinger Bands_;Bollinger Bands;Bollinger Bands;Bollinger Bands;
208;_Box Chart_;Box Chart;Box Chart;Box Chart;
209;_DEMA_;DEMA;DEMA;DEMA;
210;_Demark_;Demark;Demark;Demark;
211;_Envelope_;Envelope;Envelope;Envelope;
212;_MAC_;MAC;MAC;MAC;
213;_Parabolic SAR_;Parabolic SAR;Parabolic SAR;Parabolic SAR;
214;_Pivot_;Pivot;Pivot;Pivot;
215;_Price Channel_;Price Channel;Price Channel;Price Channel;
216;_Starc Bands_;Starc Bands;Starc Bands;Starc Bands;
217;_TEMA_;TEMA;TEMA;TEMA;
218;_Zig Zag_;Zig Zag;Zig Zag;Zig Zag;
219;_Disparity(SMA)_;이격도(단순);Disparity(SMA);이격도(단순);
220;_Disparity(EMA)_;이격도(지수);Disparity(EMA);이격도(지수);
221;_AB Ratio_;AB Ratio;AB Ratio;AB Ratio;
222;_ATR_;ATR;ATR;ATR;
223;_Band %B_;Band %B;Band %B;Band %B;
224;_Band Width_;Band Width;Band Width;Band Width;
225;_Chaikin's Volatility_;Chaikin's Volatility;Chaikin's Volatility;Chaikin's Volatility;
226;_DPO_;DPO;DPO;DPO;
227;_DRF_;DRF;DRF;DRF;
228;_Elder Ray Bear_;Elder Ray Bear;Elder Ray Bear;Elder Ray Bear;
229;_Elder Ray Bull_;Elder Ray Bull;Elder Ray Bull;Elder Ray Bull;
230;_Mass Index_;Mass Index;Mass Index;Mass Index;
231;_NCO_;NCO;NCO;NCO;
232;_Qstic_;Qstic;Qstic;Qstic;
233;_RMI_;RMI;RMI;RMI;
234;_RSI_;RSI;RSI;RSI;
235;_Sigma_;Sigma;Sigma;Sigma;
236;_Standard Deviation_;Standard Deviation;Standard Deviation;Standard Deviation;
237;_Standard Error_;Standard Error;Standard Error;Standard Error;
238;_Stochastic Fast_;Stochastic Fast;Stochastic Fast;Stochastic Fast;
239;_Stochastic Fast2_;Stochastic Fast2;Stochastic Fast2;Stochastic Fast2;
240;_Stochastic Fast3_;Stochastic Fast3;Stochastic Fast3;Stochastic Fast3;
241;_Stochastic Slow_;Stochastic Slow;Stochastic Slow;Stochastic Slow;
242;_Stochastic Slow2_;Stochastic Slow2;Stochastic Slow2;Stochastic Slow2;
243;_Stochastic Slow3_;Stochastic Slow3;Stochastic Slow3;Stochastic Slow3;
244;_%R_;%R;%R;%R;
245;_AD Line_;AD Line;AD Line;AD Line;
246;_ADX_;ADX;ADX;ADX;
247;_ADXR_;ADXR;ADXR;ADXR;
248;_Aroon_;Aroon;Aroon;Aroon;
249;_CCI_;CCI;CCI;CCI;
250;_Formula_;Formula;Formula;Formula;
251;_LRS_;LRS;LRS;LRS;
252;_MACD_;MACD;MACD;MACD;
253;_MACD Oscillator_;MACD Oscillator;MACD Oscillator;MACD Oscillator;
254;_MAO_;MAO;MAO;MAO;
255;_Momentum_;Momentum;Momentum;Momentum;
256;_NDI_;NDI;NDI;NDI;
257;_Price Oscillator_;Price Oscillator;Price Oscillator;Price Oscillator;
